Test Name,Accuracy,Precision,Recall,F1 Score,Accuracy (Standard Deviation),Precision (Standard Deviation),Recall (Standard Deviation),F1 Score (Standard Deviation)
Assemble: VisualArousalBLR8,0.5859715639745705,0.48104624715876054,0.6089251439422471,0.537484116896204,0.05496709711684627,0.1596066329244933,0.1075053551083907,0.11166920330366287
Assemble: VisualArousalBLR12,0.5994312796163023,0.5200909780004552,0.61829652996436,0.5649577928667691,0.040750500903455104,0.1687648877362834,0.08933690008615273,0.1069044807445943
Assemble: VisualArousalRF4,0.5692890995231197,0.6467020470008582,0.560078791862113,0.6002814919074531,0.0798180745673452,0.20560953522475306,0.1217673206871952,0.09422179910479157
Assemble: VisualArousalRF8,0.6113744075784101,0.7134192570118021,0.5925692695163962,0.6474028207739938,0.04743783849148762,0.14208239360289465,0.0890152813056987,0.06276018811107237
Assemble: VisualArousalRF12,0.6301421800966044,0.7047005306988718,0.6133289343542506,0.6558475921704737,0.035637107475820426,0.12601558403394889,0.0792513358921648,0.050480812425650404
Assemble: VisualValenceBLR4,0.4942180094768649,0.41470811220880344,0.4932371505930289,0.4505766062647087,0.06033213686379382,0.2633847523894476,0.18809405461512427,0.21209625350407332
Assemble: VisualValenceBLR8,0.4919431279573307,0.424184988617984,0.49078947367751036,0.45506303374505946,0.04084263684306017,0.2832603327742292,0.18015305329975365,0.2092511011519672
Assemble: VisualValenceBLR12,0.5008530805601912,0.4552691432769343,0.5010429703692246,0.47706057595612367,0.05509135708499712,0.243993336488135,0.18922889200207674,0.17065159942967648
Assemble: VisualValenceRF4,0.5099526066379335,0.41205458681733154,0.5124941065556932,0.45681865938870847,0.10520226980416696,0.29417065150052474,0.13648413666059153,0.18033813099437712
Assemble: VisualValenceRF8,0.5090047393317706,0.3529188779240065,0.5132304299810703,0.418238993698359,0.06689500109803767,0.18385168235316093,0.19960331074343973,0.16655487242365374
Assemble: VisualValenceRF12,0.5023696682483053,0.3294162244176068,0.5037681159564562,0.39834975934819655,0.07373504817234751,0.22180605081071444,0.18181576531939989,0.20403683466932535
Assemble: PhysArousalBLR4,0.6030331753490105,0.6042456406353458,0.6028744326694184,0.6035592578519432,0.0555375186369583,0.21652284705779018,0.06273448005147657,0.11518783115330959
Assemble: PhysArousalBLR8,0.5945023696617905,0.5765731614881598,0.5981124655824127,0.5871453387342956,0.08105709184402539,0.20761829274505597,0.06635837029214273,0.12816840188028228
Assemble: PhysArousalBLR12,0.60265402843337,0.6152388172767825,0.6002218934889086,0.6076375889124639,0.05735957476497099,0.17977524307601156,0.05465588876333708,0.0935982466109446
Assemble: PhysArousalRF4,0.5823696682589239,0.5212282031937878,0.5939524838150666,0.555219059167506,0.07225498704796894,0.21073783870253607,0.06013664480448907,0.1445818576773879
Assemble: PhysArousalRF8,0.6079620853205838,0.5379075056995372,0.6256613756746032,0.5784753363362789,0.07221141305840117,0.2089152759073719,0.056095760315189896,0.146880826349319
Assemble: PhysArousalRF12,0.6049289099510153,0.5375284306281265,0.6213847502257426,0.5764227642298433,0.06694335192996281,0.21376015147888217,0.05375614564360519,0.1438091026579377
Assemble: PhysValenceBLR4,0.5787677725163409,0.6023502653494359,0.5753077480210886,0.5885185185235247,0.08896620707091023,0.17702791337238352,0.12449963897764281,0.11170672807729239
Assemble: PhysValenceBLR8,0.5854028436011098,0.6406368461055368,0.576988733353073,0.6071492725014754,0.07437131033278467,0.13138139458504558,0.12960820164620057,0.10539921654318804
Assemble: PhysValenceBLR12,0.5601895734550904,0.6281273692176956,0.5530707610095025,0.5882144124920128,0.07648376711836143,0.22436710253446895,0.12191707399214856,0.12366071681076878
Assemble: PhysValenceRF4,0.5886255924181775,0.6122062168180903,0.5847212165122294,0.5981481481433024,0.08807642943232087,0.1834349827484473,0.12219843706184516,0.1271095555051237
Assemble: PhysValenceRF8,0.5715639810437375,0.5174374526289516,0.5803571428550929,0.5470941883832956,0.08153711640973134,0.18544906343122244,0.14576471308758956,0.12292807052898311
Assemble: PhysValenceRF12,0.5844549763120085,0.5314632297290806,0.5945716709160306,0.5612489992084894,0.082133607801967,0.18632728003337698,0.13732524280224062,0.13440972761380635
Assemble: AllArousalBLR4,0.6688151658780451,0.6387414708060604,0.6797095603094749,0.6585890170007679,0.06059834136529216,0.14504599997053413,0.06776410618501574,0.0868622065391505
Assemble: AllArousalBLR8,0.6794312796183497,0.6599696739827898,0.6867850098624091,0.6731103808171501,0.05393382637826884,0.14520127624728985,0.0572965109743518,0.07894868404259578
Assemble: AllArousalBLR12,0.6801895734496307,0.6319181197825319,0.6995383969643345,0.6640111531474526,0.055247686259404606,0.19103168759301942,0.05923807199879225,0.11755914563549655
Assemble: AllArousalRF4,0.6619905213282692,0.6345716451881522,0.6714801444043321,0.6525043851113866,0.0572095199611873,0.12943716464813007,0.08833375106389582,0.06771011239797038
