Test Name,Accuracy,F1 Score,Significance: Accuracy,Significance: F1 Score
RF_All_Valence - Assemble_4,0.6793829266353038,0.371839655277613,1,1
RF_All_Valence - Assemble_8,0.5175843650215856,0.7108922993055002,1,1
RF_All_Valence - Assemble_12,0.5381281397386225,0.5646903168903383,1,1
RF_All_Valence - SemiBoost_4,0.025654223383037814,0.423537933605745,0,1
RF_All_Valence - SemiBoost_8,0.0005859462703969844,0.10344862373020583,0,1
RF_All_Valence - SemiBoost_12,0.6629381303585642,0.7556307310224436,1,1
NN_Audio_Arousal - Co-Training_4,0.09618962548278302,0.016531458102783177,1,0
NN_Audio_Arousal - Co-Training_8,0.6826948736821054,0.25882732587245344,1,1
NN_Audio_Arousal - Co-Training_12,0.9796723871503865,0.8861689587236365,1,1
NN_Audio_Arousal - Tri-Training_4,0.334125285475528,0.4089953114029218,1,1
NN_Audio_Arousal - Tri-Training_8,0.815775742351343,0.8280182411295163,1,1
NN_Audio_Arousal - Tri-Training_12,0.8123348248262032,0.8909402808908942,1,1
NN_Audio_Arousal - SSGMM_4,4.847647114899224e-05,0.17946563523747494,0,1
NN_Audio_Arousal - SSGMM_8,4.847647114899224e-05,0.17946563523747494,0,1
NN_Audio_Arousal - SSGMM_12,4.847647114899224e-05,0.17946563523747494,0,1
NN_Audio_Arousal - SemiBoost_4,0.09167123456742983,0.634224707570407,1,1
NN_Audio_Arousal - SemiBoost_8,0.29480991920621014,0.8688798268354743,1,1
NN_Audio_Arousal - SemiBoost_12,0.9445944605052676,0.3639481433598082,1,1
NN_Audio_Valence - Co-Training_4,0.6777664105093305,0.01994011818966268,1,0
NN_Audio_Valence - Co-Training_8,0.500464976726269,0.6641938640811675,1,1
NN_Audio_Valence - Co-Training_12,0.7905754770920378,0.764307386680942,1,1
NN_Audio_Valence - Tri-Training_4,0.9569818279606758,0.9269698417891648,1,1
NN_Audio_Valence - Tri-Training_8,0.7638024666662369,0.9819417000429156,1,1
NN_Audio_Valence - Tri-Training_12,0.93235308554469,0.965344970395222,1,1
NN_Audio_Valence - SSGMM_4,0.5326246173548033,0.008257424753792738,1,0
NN_Audio_Valence - SSGMM_8,0.5326246173548033,0.008257424753792738,1,0
NN_Audio_Valence - SSGMM_12,0.5326246173548033,0.008257424753792738,1,0
NN_Audio_Valence - SemiBoost_4,0.30603644714612205,0.39941632967403173,1,1
NN_Audio_Valence - SemiBoost_8,0.928237381618837,0.17478996900080648,1,1
NN_Audio_Valence - SemiBoost_12,0.49673652232846144,0.6674766130962504,1,1
NN_Visual_Arousal - Co-Training_4,0.10730925438087997,0.0025390235900638767,1,0
NN_Visual_Arousal - Co-Training_8,0.34792295602131496,0.06524268114342666,1,1
NN_Visual_Arousal - Co-Training_12,0.8018112694557796,0.1649371760233685,1,1
NN_Visual_Arousal - Tri-Training_4,0.195078938814116,0.641132209841757,1,1
NN_Visual_Arousal - Tri-Training_8,0.3033238895559754,0.5260099372820364,1,1
NN_Visual_Arousal - Tri-Training_12,0.6125517496802518,0.6445592608227997,1,1
NN_Visual_Arousal - SSGMM_4,0.010374053267840813,0.0250548014473316,0,0
NN_Visual_Arousal - SSGMM_8,0.010374053267840813,0.0250548014473316,0,0
NN_Visual_Arousal - SSGMM_12,0.010941326954663213,0.024710127768558066,0,0
NN_Visual_Arousal - SemiBoost_4,0.011452020703980095,0.5203070772952177,0,1
NN_Visual_Arousal - SemiBoost_8,0.7859844049345475,0.6658414593706556,1,1
NN_Visual_Arousal - SemiBoost_12,0.9731367044017425,0.6604845022695809,1,1
NN_Visual_Valence - Co-Training_4,0.5249765579267706,0.07278307749776489,1,1
NN_Visual_Valence - Co-Training_8,0.9003396564479651,0.34763537907207187,1,1
NN_Visual_Valence - Co-Training_12,0.9884749127824444,0.3984575266377782,1,1
NN_Visual_Valence - Tri-Training_4,0.9868420087644472,0.7803958890448471,1,1
NN_Visual_Valence - Tri-Training_8,0.7055942181167348,0.9865795378150972,1,1
NN_Visual_Valence - Tri-Training_12,0.9789529927685775,0.884352990387758,1,1
NN_Visual_Valence - SSGMM_4,0.18502726706899927,0.04479144980386696,1,0
NN_Visual_Valence - SSGMM_8,0.5225455460748809,0.22278475085685664,1,1
NN_Visual_Valence - SSGMM_12,0.8471686498067967,0.9251590428144196,1,1
NN_Visual_Valence - SemiBoost_4,0.2742610151184349,0.06372102130068324,1,1
NN_Visual_Valence - SemiBoost_8,0.5453234133726268,0.3114000356121785,1,1
NN_Visual_Valence - SemiBoost_12,0.2870658768000329,0.19621694856485394,1,1
NN_Phys_Arousal - Co-Training_4,0.987340885718859,0.16115636578392542,1,1
NN_Phys_Arousal - Co-Training_8,0.7227121967614272,0.4024615371243345,1,1
NN_Phys_Arousal - Co-Training_12,0.6132302742959459,0.8588597062424201,1,1
NN_Phys_Arousal - Tri-Training_4,0.46324024664137287,0.675245595457237,1,1
NN_Phys_Arousal - Tri-Training_8,0.4199584569171614,0.2677547141064865,1,1
NN_Phys_Arousal - Tri-Training_12,0.6410179255014158,0.7497955312366295,1,1
NN_Phys_Arousal - SSGMM_4,0.06101389175935278,0.005221422072991369,1,0
NN_Phys_Arousal - SSGMM_8,0.06502658730204053,0.00524967515887268,1,0
NN_Phys_Arousal - SSGMM_12,0.05547679446026248,0.005470456453125026,1,0
NN_Phys_Arousal - SemiBoost_4,0.6370976526624136,0.5746906745588325,1,1
NN_Phys_Arousal - SemiBoost_8,0.7381676747700565,0.2245751982903099,1,1
NN_Phys_Arousal - SemiBoost_12,0.6762603315411422,0.25052132517227016,1,1
NN_Phys_Valence - Co-Training_4,0.6262541708056388,0.11713990177390694,1,1
NN_Phys_Valence - Co-Training_8,0.4665918613570629,0.86020924680323,1,1
NN_Phys_Valence - Co-Training_12,0.5041442258140956,0.7088929438907148,1,1
NN_Phys_Valence - Tri-Training_4,0.6071255650674059,0.5882556528556406,1,1
NN_Phys_Valence - Tri-Training_8,0.4202105801411139,0.44163760103341665,1,1
NN_Phys_Valence - Tri-Training_12,0.6122608685739204,0.9419129683495062,1,1
NN_Phys_Valence - SSGMM_4,0.48871918448571583,0.0239898905650098,1,0
NN_Phys_Valence - SSGMM_8,0.49431802792453805,0.02139195468508987,1,0
NN_Phys_Valence - SSGMM_12,0.49397255853032207,0.02215002053570226,1,0
NN_Phys_Valence - SemiBoost_4,0.2945944720954595,0.7181023556221159,1,1
NN_Phys_Valence - SemiBoost_8,0.5540165300019533,0.4307873504925097,1,1
NN_Phys_Valence - SemiBoost_12,0.9346061909751913,0.7069160768414489,1,1
NN_All_Arousal - Co-Training_4,0.26237319523013036,0.05044178331498732,1,1
NN_All_Arousal - Co-Training_8,0.47781229557634564,0.15946111781811712,1,1
NN_All_Arousal - Co-Training_12,0.3518513988764894,0.21273965268523237,1,1
NN_All_Arousal - Tri-Training_4,0.3351268266127986,0.5838489157216995,1,1
NN_All_Arousal - Tri-Training_8,0.5002468083018801,0.44903471098784264,1,1
NN_All_Arousal - Tri-Training_12,0.8405733679474748,0.9765608561235758,1,1
NN_All_Arousal - SSGMM_4,0.010133888977538025,0.05487449870244962,0,1
NN_All_Arousal - SSGMM_8,0.010133888977538025,0.05487449870244962,0,1
NN_All_Arousal - SSGMM_12,0.010133888977538025,0.05487449870244962,0,1
NN_All_Arousal - SemiBoost_4,0.08494281418981835,0.46674480122710427,1,1
NN_All_Arousal - SemiBoost_8,0.8086353722275528,0.6949740887148625,1,1
NN_All_Arousal - SemiBoost_12,0.8480874131061302,0.4822775195639617,1,1
NN_All_Valence - Co-Training_4,0.6563356624326391,0.03582028494925664,1,0
NN_All_Valence - Co-Training_8,0.7959465073609713,0.1364963304204469,1,1
NN_All_Valence - Co-Training_12,0.20523624439444255,0.8217828270337791,1,1
NN_All_Valence - Tri-Training_4,0.38154536272526773,0.7274416776552425,1,1
NN_All_Valence - Tri-Training_8,0.8731644823769953,0.8891065353343105,1,1
NN_All_Valence - Tri-Training_12,0.3206589151260013,0.48644734358742725,1,1
NN_All_Valence - SSGMM_4,0.2873532762103989,0.03378433710427156,1,0
NN_All_Valence - SSGMM_8,0.2873532762103989,0.03378433710427156,1,0
